engagementKey,userKey,userId,learningMaterialKey,title,department,quizScore,learningMaterialCompletion[0].completed
1,1,670cca73e0941d56b05ee5fd,542,Demum conitor despecto.,Data Science,70,False
2,2,670cca73e0941d56b05ee375,997,Ascisco tolero bonus usque incidunt consuasor verbera tempus.,Data Science,47,True
3,3,670cca73e0941d56b05ee5da,959,Celer crudelis aro cito cubo concido tum alius adamo.,Data Science,54,False
4,4,670cca73e0941d56b05ee545,281,Adnuo angelus depromo.,Data Engineering,25,True
5,5,670cca73e0941d56b05ee3ea,264,Vulpes ab canto culpa acer advoco ancilla natus deinde clamo.,Data Engineering,55,False
6,6,670cca73e0941d56b05ee4b2,879,Studio curis cernuus quos carbo crinis vereor abduco.,Data Science,52,True
7,7,670cca73e0941d56b05ee307,450,A callide curis pauper temptatio non.,Data Engineering,98,False
8,8,670cca73e0941d56b05ee631,348,Creber deleo vinum quaerat strues sui vero vulticulus.,Data Science,81,False
9,9,670cca73e0941d56b05ee5b4,948,Unde ambulo dignissimos conatus assentator crebro substantia.,Full Stack,74,True
10,10,670cca73e0941d56b05ee50e,285,Consequuntur iure minima ullam.,Full Stack,91,True
11,11,670cca73e0941d56b05ee522,77,Circumvenio dapifer pecco.,Data Engineering,78,False
12,12,670cca73e0941d56b05ee606,986,Repellat caveo deserunt stultus curtus utor esse.,Data Science,82,False
13,13,670cca73e0941d56b05ee2ad,349,Aedificium vel trans aequitas alii vae vigor crebro tolero.,Data Engineering,80,False
14,14,670cca73e0941d56b05ee376,781,Substantia ascit censura dolorem suus arbor voluptatum commodi usque.,Full Stack,29,True
15,15,670cca73e0941d56b05ee51b,943,Substantia cubitum accedo delectus corporis.,Full Stack,43,True
16,16,670cca73e0941d56b05ee326,408,Adulescens succedo usitas iusto porro tabula trucido demitto adnuo.,Full Stack,40,True
17,17,670cca73e0941d56b05ee45a,339,Subvenio uterque repellendus.,Data Science,97,False
18,18,670cca73e0941d56b05ee648,59,Subito tripudio suppono talus aedificium talis credo suasoria tollo ciminatio.,Data Engineering,11,True
19,19,670cca73e0941d56b05ee51c,988,Nemo totidem ullam antiquus subito fugiat vivo compello acies.,Full Stack,78,True
20,20,670cca73e0941d56b05ee2e9,624,Antepono amicitia dolorem.,Data Science,66,False
21,21,670cca73e0941d56b05ee42d,717,Venio cura volaticus arceo vestigium magni corona.,Data Engineering,18,True
22,22,670cca73e0941d56b05ee609,526,Labore tepidus templum depopulo canonicus.,Data Engineering,46,False
23,23,670cca73e0941d56b05ee303,25,Abutor depulso clementia una.,Data Engineering,13,False
24,24,670cca73e0941d56b05ee602,402,Rem reiciendis tibi caput cavus.,Full Stack,56,True
25,25,670cca73e0941d56b05ee357,236,Vulgaris arbitro aegre sono non bis cinis ea alias conitor.,Full Stack,54,False
26,26,670cca73e0941d56b05ee322,478,Toties demens iusto contigo cruentus quas adnuo sonitus corona.,Data Science,23,True
27,27,670cca73e0941d56b05ee5cd,393,Velociter sit utrum curriculum viridis tamquam.,Data Engineering,20,False
28,28,670cca73e0941d56b05ee333,876,Vir solium crux tergiversatio utrimque ut suppono tollo vorax.,Data Science,46,True
29,29,670cca73e0941d56b05ee2e0,12,Versus adicio cerno.,Full Stack,55,True
30,30,670cca73e0941d56b05ee3d6,204,Sponte asporto conduco labore vapulus demulceo amplus desparatus tricesimus calamitas.,Data Engineering,41,True
31,25,670cca73e0941d56b05ee357,77,Circumvenio dapifer pecco.,Data Engineering,70,False
32,31,670cca73e0941d56b05ee437,587,Ascit ars cumque totam incidunt beatae.,Data Science,86,True
33,32,670cca73e0941d56b05ee27e,327,Defluo aeternus cogo.,Data Science,21,True
34,33,670cca73e0941d56b05ee385,765,Aliquid apud solus vehemens vinum careo allatus aro delinquo.,Full Stack,80,True
35,34,670cca73e0941d56b05ee477,625,Cunctatio atque vitium subito.,Full Stack,61,False
36,35,670cca73e0941d56b05ee4b9,838,Tredecim velut casso umquam comis capto credo circumvenio degenero depromo.,Full Stack,17,False
37,36,670cca73e0941d56b05ee44f,974,Bibo certus damno.,Data Science,59,False
38,37,670cca73e0941d56b05ee5a3,525,Advenio officia ver cognatus creber aeneus statim.,Data Engineering,44,False
39,38,670cca73e0941d56b05ee531,35,Virga vester amoveo.,Full Stack,66,True
40,39,670cca73e0941d56b05ee5c5,537,Argumentum suscipio amet voluptatibus caveo sordeo.,Data Engineering,20,True
41,40,670cca73e0941d56b05ee294,85,Solitudo animus vilis tametsi.,Data Engineering,23,True
42,41,670cca73e0941d56b05ee54f,985,Quae bene degenero subnecto.,Data Engineering,67,False
43,42,670cca73e0941d56b05ee62c,756,Amiculum vicissitudo spoliatio temperantia confido turbo adeo.,Full Stack,32,True
44,43,670cca73e0941d56b05ee2d6,262,Sponte conturbo vix victoria degusto accusator cum.,Data Science,91,True
45,44,670cca73e0941d56b05ee482,987,Comprehendo thesis itaque aspicio supra.,Data Engineering,10,False
46,45,670cca73e0941d56b05ee553,95,Verbera volubilis decerno abduco.,Full Stack,43,True
47,46,670cca73e0941d56b05ee3aa,635,Earum adipisci subnecto amiculum thesaurus cubicularis commodo deserunt auctor.,Full Stack,8,False
48,47,670cca73e0941d56b05ee474,886,Defessus cicuta decor verecundia decor.,Full Stack,56,False
49,48,670cca73e0941d56b05ee568,418,Talis adipisci arma varietas verbum.,Data Engineering,27,False
50,49,670cca73e0941d56b05ee4e7,968,Succurro amiculum amplitudo arx decens aliqua.,Data Science,72,True
51,50,670cca73e0941d56b05ee4a2,972,Alveus uredo beatus quibusdam decretum.,Full Stack,26,False
52,51,670cca73e0941d56b05ee3ad,193,Artificiose solio cornu.,Data Science,35,False
53,52,670cca73e0941d56b05ee549,626,Vita cras textus.,Data Science,73,True
54,53,670cca73e0941d56b05ee2be,533,Termes rem quo corporis adeptio baiulus celer.,Data Science,1,False
55,54,670cca73e0941d56b05ee5e3,760,Rerum cubicularis vergo audacia vallum.,Data Science,7,True
56,55,670cca73e0941d56b05ee3ee,58,Timor tondeo varius solium verto.,Data Engineering,75,True
57,56,670cca73e0941d56b05ee520,402,Rem reiciendis tibi caput cavus.,Full Stack,91,False
58,57,670cca73e0941d56b05ee55e,694,Antepono appello valde.,Full Stack,17,True
59,58,670cca73e0941d56b05ee62e,205,Et adiuvo statim.,Full Stack,43,False
60,59,670cca73e0941d56b05ee3bd,376,Deorsum ait colligo tui carpo.,Data Engineering,12,True
61,30,670cca73e0941d56b05ee3d6,783,Cena angelus teneo sperno theca voluptates vitium tero trepide molestias.,Full Stack,76,True
62,60,670cca73e0941d56b05ee367,173,Apto stillicidium alias subito abeo patrocinor.,Full Stack,68,True
63,27,670cca73e0941d56b05ee5cd,138,Concido magnam angustus deleniti deripio iusto ventus admitto subseco vulnus.,Data Engineering,30,True
64,61,670cca73e0941d56b05ee3a3,165,Esse suus cotidie centum.,Data Engineering,59,True
65,62,670cca73e0941d56b05ee516,341,Confugo voco cunctatio spiculum comes summa caecus ulciscor solus allatus.,Data Science,88,True
66,63,670cca73e0941d56b05ee4d8,387,Demergo curis celo impedit apostolus thema substantia ocer.,Data Science,74,True
67,64,670cca73e0941d56b05ee28e,617,Necessitatibus validus una hic valeo.,Data Science,39,True
68,65,670cca73e0941d56b05ee4ca,470,Trado alter consectetur stips aliquam contabesco tolero.,Data Science,38,True
69,66,670cca73e0941d56b05ee3ec,807,Patruus uter attero cupiditas colo nulla approbo tabula dolorum denego.,Data Engineering,63,True
70,67,670cca73e0941d56b05ee393,36,Abutor caveo voluntarius consequatur vesco peccatus alienus unus tamisium.,Full Stack,27,False
71,68,670cca73e0941d56b05ee3e5,597,Perferendis cognomen verto.,Data Engineering,28,True
72,69,670cca73e0941d56b05ee40e,361,Conculco nostrum approbo aggero audio.,Full Stack,3,True
73,70,670cca73e0941d56b05ee29b,424,Benigne despecto acquiro debeo bellicus theatrum benigne aestas caecus totus.,Data Science,78,True
74,71,670cca73e0941d56b05ee637,620,Impedit vacuus curo.,Full Stack,75,False
75,72,670cca73e0941d56b05ee3b8,813,Tersus voluptates approbo.,Data Engineering,22,True
76,73,670cca73e0941d56b05ee587,685,Natus ubi suadeo strenuus crebro amplus absque velociter adulescens.,Full Stack,74,True
77,74,670cca73e0941d56b05ee4ae,817,Ter alveus aequus.,Data Science,15,False
78,75,670cca73e0941d56b05ee4b3,499,Ultra ipsum subseco arca advenio sui vespillo in vetus.,Full Stack,67,True
79,76,670cca73e0941d56b05ee49a,646,Defaeco cito voro aurum dicta adduco urbanus.,Full Stack,21,False
80,77,670cca73e0941d56b05ee480,985,Quae bene degenero subnecto.,Data Engineering,12,False
81,78,670cca73e0941d56b05ee537,689,Comptus vinitor ventito quo combibo.,Data Science,14,True
82,79,670cca73e0941d56b05ee3ae,21,Curatio cur umbra amo perferendis.,Data Engineering,86,False
