_id,userId,learningMaterialCompletion[0].learningMaterialId,learningMaterialCompletion[0].completed,learningMaterialCompletion[0]._id,quizScore,__v
670cca76e0941d56b05f1544,670cca73e0941d56b05ee5fd,670cca73e0941d56b05ee87c,false,670cca76e0941d56b05f1545,70,0
670cca76e0941d56b05f1546,670cca73e0941d56b05ee375,670cca73e0941d56b05eea43,true,670cca76e0941d56b05f1547,47,0
670cca76e0941d56b05f1548,670cca73e0941d56b05ee5da,670cca73e0941d56b05eea1d,false,670cca76e0941d56b05f1549,54,0
670cca76e0941d56b05f154a,670cca73e0941d56b05ee545,670cca73e0941d56b05ee777,true,670cca76e0941d56b05f154b,25,0
670cca76e0941d56b05f154c,670cca73e0941d56b05ee3ea,670cca73e0941d56b05ee766,false,670cca76e0941d56b05f154d,55,0
670cca76e0941d56b05f154e,670cca73e0941d56b05ee4b2,670cca73e0941d56b05ee9cd,true,670cca76e0941d56b05f154f,52,0
670cca76e0941d56b05f1550,670cca73e0941d56b05ee307,670cca73e0941d56b05ee820,false,670cca76e0941d56b05f1551,98,0
670cca76e0941d56b05f1552,670cca73e0941d56b05ee631,670cca73e0941d56b05ee7ba,false,670cca76e0941d56b05f1553,81,0
670cca76e0941d56b05f1554,670cca73e0941d56b05ee5b4,670cca73e0941d56b05eea12,true,670cca76e0941d56b05f1555,74,0
670cca76e0941d56b05f1556,670cca73e0941d56b05ee50e,670cca73e0941d56b05ee77b,true,670cca76e0941d56b05f1557,91,0
670cca76e0941d56b05f1558,670cca73e0941d56b05ee522,670cca73e0941d56b05ee6ab,false,670cca76e0941d56b05f1559,78,0
670cca76e0941d56b05f155a,670cca73e0941d56b05ee606,670cca73e0941d56b05eea38,false,670cca76e0941d56b05f155b,82,0
670cca76e0941d56b05f155c,670cca73e0941d56b05ee2ad,670cca73e0941d56b05ee7bb,false,670cca76e0941d56b05f155d,80,0
670cca76e0941d56b05f155e,670cca73e0941d56b05ee376,670cca73e0941d56b05ee96b,true,670cca76e0941d56b05f155f,29,0
670cca76e0941d56b05f1560,670cca73e0941d56b05ee51b,670cca73e0941d56b05eea0d,true,670cca76e0941d56b05f1561,43,0
670cca76e0941d56b05f1562,670cca73e0941d56b05ee326,670cca73e0941d56b05ee7f6,true,670cca76e0941d56b05f1563,40,0
670cca76e0941d56b05f1564,670cca73e0941d56b05ee45a,670cca73e0941d56b05ee7b1,false,670cca76e0941d56b05f1565,97,0
670cca76e0941d56b05f1566,670cca73e0941d56b05ee648,670cca73e0941d56b05ee699,true,670cca76e0941d56b05f1567,11,0
670cca76e0941d56b05f1568,670cca73e0941d56b05ee51c,670cca73e0941d56b05eea3a,true,670cca76e0941d56b05f1569,78,0
670cca76e0941d56b05f156a,670cca73e0941d56b05ee2e9,670cca73e0941d56b05ee8ce,false,670cca76e0941d56b05f156b,66,0
670cca76e0941d56b05f156c,670cca73e0941d56b05ee42d,670cca73e0941d56b05ee92b,true,670cca76e0941d56b05f156d,18,0
670cca76e0941d56b05f156e,670cca73e0941d56b05ee609,670cca73e0941d56b05ee86c,false,670cca76e0941d56b05f156f,46,0
